epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,0.6855582222342491,0.58984375,0.6612226814031601,0.7668269276618958
2,0.635148711502552,0.76953125,0.6016960293054581,0.7199519276618958
3,0.5409319065511227,0.79296875,0.5201651155948639,0.7355769276618958
4,0.4492967687547207,0.8125,0.46390047669410706,0.7512019276618958
5,0.39472206495702267,0.82421875,0.4423529952764511,0.8016826957464218
6,0.38683250080794096,0.8359375,0.40602176636457443,0.7668269276618958
7,0.4516029944643378,0.80078125,0.4053024724125862,0.7668269276618958
8,0.33881194423884153,0.86328125,0.37102021276950836,0.8329326957464218
9,0.3318731216713786,0.87109375,0.36879122257232666,0.8329326957464218
10,0.3218064038082957,0.8828125,0.37466995418071747,0.8329326957464218
11,0.29258697014302015,0.88671875,0.3640866205096245,0.7980769276618958
12,0.29709711810573936,0.890625,0.3611639067530632,0.8137019276618958
13,0.31706895027309656,0.86328125,0.38502976670861244,0.8449519276618958
14,0.2805128281470388,0.87890625,0.3409550115466118,0.8449519276618958
15,0.3082593842409551,0.86328125,0.3526717275381088,0.8293269276618958
16,0.25717939622700214,0.890625,0.3562474399805069,0.8100961595773697
17,0.23673199815675616,0.91015625,0.36370690912008286,0.7944711595773697
18,0.2236189916729927,0.91015625,0.3832518011331558,0.8137019276618958
19,0.2453820826485753,0.8828125,0.410617109388113,0.7980769276618958
20,0.21181811671704054,0.91796875,0.39912324771285057,0.7980769276618958
21,0.21858843346126378,0.93359375,0.3935031406581402,0.7980769276618958
22,0.20438637444749475,0.91796875,0.4180446155369282,0.7788461595773697
23,0.19868398248218,0.90234375,0.4175071530044079,0.7980769276618958
24,0.20174295484321192,0.921875,0.4865380711853504,0.8137019276618958
25,0.18026951956562698,0.9296875,0.3950800821185112,0.7980769276618958
26,0.17530348990112543,0.9453125,0.5056616961956024,0.7824519276618958
27,0.14768542326055467,0.953125,0.4782131388783455,0.8016826957464218
28,0.13127475581131876,0.94921875,0.5184150896966457,0.8016826957464218
29,0.12068370380438864,0.96484375,0.5174439121037722,0.8016826957464218
30,0.11306405579671264,0.96875,0.517670713365078,0.8016826957464218
31,0.10043441219022498,0.97265625,0.5555840395390987,0.8016826957464218
32,0.09271843876194907,0.97265625,0.5412920899689198,0.8016826957464218
33,0.08594830986112356,0.9765625,0.5959445852786303,0.7980769276618958
